address,name,category
0x0000000000000000000000000000000000000000,Arbitrum Miner,infrastructure
0x0000000000000000000000000000000000000001,Burn Address,infrastructure
0x0000000000000000000000000000000000000002,Burn Address,infrastructure
0x0000000000000000000000000000000000000003,Burn Address,infrastructure
0x0000000000000000000000000000000000000004,Burn Address,infrastructure
0x0000000000000000000000000000000000000005,Burn Address,infrastructure
0x0000000000000000000000000000000000000006,Burn Address,infrastructure
0x0000000000000000000000000000000000000007,Burn Address,infrastructure
0x0000000000000000000000000000000000000008,Burn Address,infrastructure
0x0000000000000000000000000000000000000009,Burn Address,infrastructure
0x0000000000000000000000000000000000000024,Ethereum Miner,infrastructure
0x0000000000000000000000000000000000000064,Arbitrum_precompiles: ArbSys,contracts
0x0000000000000000000000000000000000000066,Arbitrum_precompiles: ArbAddressTable,contracts
0x000000000000000000000000000000000000006c,Arbitrum_precompiles: ArbGasInfo,contracts
0x000000000000000000000000000000000000006d,Arbitrum_precompiles: ArbAggregator,contracts
0x000000000000000000000000000000000000006e,Arbitrum_precompiles: ArbRetryableTx,contracts
0x0000000000000000000000000000000000001000,BSC: Validator Set,infrastructure
0x0000000000000000000000000000000000001001,BSC: SlashIndicator,infrastructure
0x0000000000000000000000000000000000001002,BSC: System Reward,infrastructure
0x0000000000000000000000000000000000001003,BSC: Tendermint Light Client,infrastructure
0x0000000000000000000000000000000000001004,BSC: Token Hub,infrastructure
0x0000000000000000000000000000000000001005,BSC: Relayer Incentivize,infrastructure
0x0000000000000000000000000000000000001006,BSC: Relayer Hub,infrastructure
0x0000000000000000000000000000000000001007,BSC: Governance Hub,infrastructure
0x0000000000000000000000000000000000001008,BSC: Token Manager,infrastructure
0x0000000000000000000000000000000000002000,Bnb_system: CrossChain,contracts
0x0000000000000000000000000000000000002002,Contract Deployer,infrastructure
0x000000000000000000000000000000000000dead,Active NFT Trader,nft
0x00000000000000000000000000000000000a4b05,Arbitrum - ArbOS L1 Data Oracle,infrastructure
0x00000000000000000000000000000000000face7,face7.eth,social
0x000000000000000000000000000000000021bcd9,Ethereum Miner,infrastructure
0x00000000000000000000000000000000101964fb,Opensea User,nft
0x0000000000000000000000000000000069696969,classmates.eth,social
0x0000000000000000000000027f27085fc4a445f1,Opensea User,nft
0x00000000000000000000005cda7ec9514b4f5959,Opensea User,nft
0x00000000000000000000045261d4ee77acdb3286,Burn Address,infrastructure
0x000000000000001d48ffbd0c0da7c129137a9c55,Balancer v2 Flashloan User,infrastructure
0x00000000000000304861c3adfb80dd5ebec96325,Gnosis_safe: SafeL2_v1_3_0,contracts
0x00000000000000343662d3fad10d154530c0d4f1,Cryptopunks: CryptoPunks721,contracts
0x0000000000000039cd5e8ae05257ce51c473ddd1,Erc4337: SingletonPaymasterV7,contracts
0x00000000000000447e69651d841bd8d104bed493,Delegate_v2: DelegateRegistry,contracts
0x0000000000000068f116a894984e2db1123eb395,Seaport: Seaport,contracts
0x000000000000006f6502b7f2bbac8c30a3f67e9a,Flashbots User,infrastructure
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Opensea: SeaPort_v1_5,contracts
0x00000000000000cf9e3c5a26621af382fa17f24f,Gnosis_safe: SafeL2_v1_3_0,contracts
0x00000000000000eb48b37892081aef56656fdb30,Gnosis_safe: SafeL2_v1_3_0,contracts
0x00000000000000fb866daaa79352cc568a005d96,Erc4337: SingletonPaymasterV6,contracts
0x00000000000001006e0cfe60453b90e5ee06cd79,Contract Deployer,infrastructure
0x000000000000010a1dec6c46371a28a071f8bb01,Panoptic_v1: PanopticFactory,contracts
0x0000000000000138bd6bd34cf4a3905576f58e25,openavatar.eth,social
0x00000000000001ad428e4906ae43d8f9852d0dd6,Seaport: Seaport,contracts
0x00000000000001e541f0d090868fbe24b59fbe06,Gnosis_safe: SafeL2_v1_3_0,contracts
0x00000000000002377b26b1eda7b0bc371c60dd4f,Gnosis_safe: SafeL2_v1_3_0,contracts
0x0000000000000383c84db8f4c86a095abcc206bf,Contract Deployer,infrastructure
0x000000000000040470635eb91b7ce4d132d616ed,zamm.eth,social
0x00000000000004f93b0c4bbaadff9e5742574b59,Balancer v2 Flashloan User,infrastructure
0x00000000000006c7676171937c444f6bde3d6282,Seaport: Seaport,contracts
0x00000000000007736e2f9aa5630b8c812e1f3fc9,ChainEye,bridge
0x00000000000007a80b15aec70b9ed72dcc79376c,Opensea User,nft
0x000000000000084e91743124a982076c59f10084,MEV,infrastructure
0x00000000000008882d72efa6cce4b6a40b24c860,Zamm: ZAMM,contracts
0x0000000000000aabbcfca8100a9ee78124e97b33,Panoptic_v1_1: SemiFungiblePositionManager,contracts
0x0000000000000ad24e80fd803c6ac37206a45f15,Seaport: Seaport,contracts
0x0000000000000af8fe6e4de40f4804c90fa8ea8f,Eps: EPSRegister,contracts
0x0000000000000cf008e9bf9d01f8306029724c80,Panoptic_v1_1: PanopticFactory,contracts
0x0000000000000d9054f605ca65a2647c2b521422,Opensea User,nft
0x0000000000000dededdd16227aa3d836c5753194,Panoptic_v1: SemiFungiblePositionManager,contracts
0x0000000000000e74c5fd94d5d18f9e5c2cd050b7,zynix.eth,social
0x0000000000000eb4ec62758aae93400b3e5f7f18,Flashbots User,infrastructure
0x0000000000000f25a072efa232d8efc0b5ce2436,Contract Deployer,infrastructure
0x0000000000000f8bd8639d899c2a687d3dcf01a4,Rarible User,nft
0x0000000000000fec0d7701900ad1baff274f397d,Contract Deployer,infrastructure
0x000000000000100921465982d28b37d2006e87fc,Panoptic_v1: PanopticPool,contracts
0x000000000000123ca35c69ba3f852a46b2a27c94,Opensea User,nft
0x0000000000001267532f4387c34a5aa50a8d4284,Panoptic_v1: PanopticPool,contracts
0x00000000000012ccf77262929b2d629bc5d2e00b,Gnosis_safe: SafeL2_v1_3_0,contracts
0x000000000000175a8b9bc6d539b3708eed92ea6c,Zeroex: AllowanceHolder,contracts
0x00000000000017c61b5bee81050ec8efc9c6fecd,Gnosis_safe: SafeL2_v1_3_0,contracts
0x00000000000017c75025d397b91d284bbe8fc7f2,Flashbots User,infrastructure
0x0000000000001aa7a7f7e29abe0be06c72fd42a1,Gnosis_safe: SafeL2_v1_3_0,contracts
0x0000000000001cee80932a4347d943400cdf2497,Contract Deployer,infrastructure
0x0000000000001d4b1320bb3c47380a3d1c3a1a0c,Dagon: Dagon,contracts
0x0000000000001d9d34e07d9834274df9ae575217,Gnosis_safe: SafeL2_v1_3_0,contracts
0x0000000000001ff3684f28c67538d4d072c22734,Zeroex: AllowanceHolder,contracts
0x000000000000204327e6669f00901a57ce15ae15,Gnosis_safe: SafeL2_v1_3_0,contracts
0x0000000000002311eee9a2b887af1f144dbb4f6e,Gnosis_safe: SafeL2_v1_3_0,contracts
0x000000000000232e765d898b5f1b189b5c993f05,Balancer v2 Flashloan User,infrastructure
0x00000000000025cb79783c2bf2b8fb5c74b6950e,Contract Deployer,infrastructure
0x0000000000002ba88a3fd3e5ae86fd3d47c1fdd3,Meme_market: MemeMarketProtocol,contracts
0x0000000000002bdbf1bf3279983603ec279cc6df,Arb_apex: Multicaller,contracts
0x0000000000002c373a068eed822cc28067a3c8a8,Contract Deployer,infrastructure
0x0000000000002cb29260612e744ec57d9d1fc5c6,Tornado Cash Recipient,tornado_cash
0x0000000000002d534ff79e9c69e7fcc742f0be83,Flashbots User,infrastructure
0x000000000000305b8621e2475aee38ab5721d525,Panoptic_v1: PanopticPool,contracts
0x00000000000036f39117150d316fb529112d5d47,Flashbots User,infrastructure
0x0000000000003725dc565785f6c616e22d80693e,Tornado Cash Recipient,tornado_cash
0x000000000000394092babd91b9449681847ca01a,de9en.eth,social
0x0000000000003d61b3d0a96b70b9c9006947759c,Mintfun: MintFactory,contracts
0x0000000000003e6b8283d286abdbf9a6efa129d0,Celer cBridge User,bridge
0x0000000000003f6104c65ec7cb674a510376f5bf,Gnosis_safe: SafeL2_v1_3_0,contracts
0x00000000000040c8d72ad3a15ce5408f99cd61b4,Opensea User,nft
0x00000000000044525e7b56cb316054665f8a2edf,12zero.eth,social
0x00000000000045166c45af0fc6e4cf31d9e14b9a,Topbidder: BID,contracts
0x00000000000045cbb5bf01c58cd84a841d821cfe,Contract Deployer,infrastructure
0x00000000000048c0517c7b53fe47192fed043e49,Opensea User,nft
0x0000000000004946c0e9f43f4dee607b0ef1fa1c,Chi: ChiToken,contracts
0x0000000000004c0fd5233e6c14d0e10cf190de82,Opensea User,nft
0x0000000000004f232a3a433061caf2ed35dee6e9,Contract Deployer,infrastructure
0x0000000000004f3d8aaf9175fd824cb00ad4bf80,Across Bridge User,bridge
0x000000000000509081d6fcd3ee63e791ad1db763,Ensbulkreg_v5: ENSVisionBulkv4,contracts
0x0000000000005117dd3a72e64a705198753fdd54,Flashbots User,infrastructure
0x000000000000512644392395185ad535410f98c2,Balancer v2 Flashloan User,infrastructure
0x000000000000541e251335090ac5b47176af4f7e,Dexblue: dexBlue,contracts
0x00000000000057667bfefe3158822e6fb4058a6d,Pancakeswap User,nft
0x00000000000058734c4ce0fa7d019c2020289543,Gnosis_safe: SafeL2_v1_3_0,contracts
0x00000000000058964761799ac67ca3830a7c74cc,Contract Deployer,infrastructure
0x0000000000005e88410ccdfade4a5efae4b49562,Zeroex: AllowanceHolder,contracts
0x000000000000614c27530d24b5f039ec15a61d8d,Yetifinance: TroveManager,contracts
0x00000000000061ad8ee190710508a818ae5325c3,ret↩️rn.eth,social
0x00000000000062c6e2195ae26dff3b084c5c3938,Contract Deployer,infrastructure
0x00000000000062f06c7007906b2a4034fa5c4818,Flashbots User,infrastructure
0x00000000000063a311e80f11a41bc69c6896d841,Tornado Cash Depositor,tornado_cash
0x0000000000006496778e5d0bba899702ee4bdc92,Opensea User,nft
0x000000000000660def84e69995117c0176ba446e,Balancer v2 Flashloan User,infrastructure
0x0000000000006639b59faf68c388b37cab5a77ea,alex.black,social
0x00000000000069569a67de4dcaf26a754809131a,Contract Deployer,infrastructure
0x0000000000006e2f9d80caec0da6500f005eb25a,Gnosis_safe: SafeL2_v1_3_0,contracts
